Training Time	Loss	Iteration	Mean Reward (/100ep)	Best Mean Reward	Episodes	Exploration	Learning Rate
34928.17091369629	2.49534964561	1750000	1870.2	1910.5	8661	0.064	6.875e-05
35134.88522577286	2.49534964561	1760000	1841.2	1910.5	8698	0.06328	6.850000000000001e-05
35343.709161520004	2.49534964561	1770000	1753.5	1910.5	8738	0.06256	6.825e-05
35552.514308691025	2.55417633057	1780000	1684.1	1910.5	8775	0.06184	6.8e-05
35755.24224925041	2.55417633057	1790000	1663.6	1910.5	8814	0.06112	6.775e-05
35962.76961135864	2.55417633057	1800000	1774.2	1910.5	8851	0.0604	6.75e-05
36174.82603216171	2.55417633057	1810000	1702.2	1910.5	8889	0.05968	6.725000000000001e-05
36383.34384393692	2.63898396492	1820000	1797.0	1910.5	8925	0.05896	6.7e-05
36588.56846213341	2.63898396492	1830000	1770.1	1910.5	8963	0.05824	6.675e-05
36792.29238438606	2.63898396492	1840000	1693.6	1910.5	9001	0.05752	6.65e-05
37000.31403160095	2.63898396492	1850000	1659.5	1910.5	9036	0.0568	6.625e-05
37210.925107717514	4.51926708221	1860000	1737.0	1910.5	9073	0.05608	6.6e-05
37419.79839539528	4.51926708221	1870000	1796.5	1910.5	9110	0.05536	6.575e-05
37623.24096250534	4.51926708221	1880000	1820.2	1910.5	9146	0.05464	6.55e-05
37839.176387786865	4.51926708221	1890000	1793.1	1910.5	9181	0.05392	6.525000000000001e-05
38047.49839878082	3.28944349289	1900000	1695.0	1910.5	9219	0.0532	6.500000000000001e-05
38253.231963157654	3.28944349289	1910000	1690.1	1910.5	9256	0.05248	6.475e-05
38462.68232703209	3.28944349289	1920000	1677.3	1910.5	9293	0.05176	6.45e-05
38672.53372502327	3.28944349289	1930000	1773.2	1910.5	9327	0.051039999999999995	6.425e-05
38884.299773693085	3.74108910561	1940000	1809.0	1910.5	9361	0.05032	6.400000000000001e-05
39095.22070002556	3.74108910561	1950000	1818.7	1910.5	9398	0.0496	6.375e-05
39309.390704870224	3.74108910561	1960000	1728.7	1910.5	9437	0.04888000000000001	6.35e-05
39515.15539288521	3.74108910561	1970000	1676.7	1910.5	9473	0.04816	6.325e-05
39724.89482092857	2.44812250137	1980000	1690.5	1910.5	9509	0.04744	6.300000000000001e-05
39931.99503350258	2.44812250137	1990000	1705.9	1910.5	9548	0.046720000000000005	6.275000000000001e-05
40141.32349395752	2.44812250137	2000000	1672.2	1910.5	9586	0.046	6.25e-05
40346.259734630585	2.44812250137	2010000	1663.9	1910.5	9622	0.04528	6.225e-05
40554.98506164551	2.35814142227	2020000	1690.9	1910.5	9660	0.04456	6.2e-05
40765.08639335632	2.35814142227	2030000	1673.2	1910.5	9695	0.04384	6.175000000000001e-05
40973.05596065521	2.35814142227	2040000	1733.1	1910.5	9730	0.04312	6.15e-05
41185.559483766556	2.35814142227	2050000	1827.1	1910.5	9764	0.0424	6.125e-05
41396.71810507774	4.82254838943	2060000	1880.7	1910.5	9802	0.041679999999999995	6.1e-05
